"cases","defennm","NewOrgname","NewUltorg"
"{02-2005-0016,07-2008-0137,07-2003-0020}","THE BOEING COMPANY","Boeing Co",
"{05-2004-0524}","THE BOARD OF TRUSTEES OF THE UNIVERSITY OF IL","University of Illinois",
"{09-2003-0225}","The BNSF Railway Company","BNSF Railway","Berkshire Hathaway"
"{09-2004-0357}","The Aerospace Corp.","Aerospace Corp",
"{09-2007-0141,05-2003-0415,04-2002-9001}","TEXTRON, INC.","Textron Inc",
"{01-2007-0526}","TEXTRON SYSTEMS CORPORATION","Textron Systems","Textron Inc"
"{02-2009-2006}","Textron Systems Corp.","Textron Systems","Textron Inc"
"{01-2004-0005}","TEXTRON SYSTEMS CORP","Textron Systems","Textron Inc"
"{09-2004-0357}","Textron Inc.","Textron Inc",
"{03-2001-0427}","TEXTRON INC (FOR ITSELF & TEXTRON LYCOMI","Textron Inc",
"{02-2007-2009}","Textron Inc","Textron Inc",
"{01-2008-0503}","TEXTRON INC","Textron Inc",
"{02-2004-2011}","Texron Inc","Textron Inc",
"{09-2002-0183}","Texaco, Inc.","Texaco",
"{04-2001-3754,04-2007-3759,04-2006-3758}","TEXACO, INC.","Texaco",
"{03-2001-0427}","TEXACO, INC","Texaco",
"{09-2009-2508}","Texaco Refining & Marketing, Inc.","Texaco",
"{01-2001-0121}","TEXACO INC (PARAGON OIL COMPANY INC)","Texaco",
"{01-2001-0121}","TEXACO INC (GETTY OIL COMPANY","Texaco",
"{01-2001-0121,07-2001-0304,02-2001-2001}","TEXACO INC","Texaco",
"{04-2007-3759}","TEVA PHARMACEUTICALS USA, INC. (fka BIOCRAFT LABOR","Teva Pharmaceuticals USA",
"{02-2004-2011}","Teva Pharmaceuticals USA, Inc.","Teva Pharmaceuticals USA",
"{05-2001-0401}","TEVA PHARMACEUTICALS USA, INC.","Teva Pharmaceuticals USA",
"{03-2004-0087}","TEVA PHARMACEUTICALS USA, INC","Teva Pharmaceuticals USA",
"{02-2007-2009}","Teva Pharmaceuticals USA Inc fka Biocraft Labs Inc","Teva Pharmaceuticals USA",
"{04-2003-3504}","TEPPCO, INC.","TEPPCO Inc","TEPPCO Partners"
"{04-2007-3759}","TEPPCO GP, INC.","TEPPCO GP Inc","TEPPCO Partners"
"{04-2003-3504,04-2009-3766}","TENNESSEE VALLEY AUTHORITY","Tennessee Valley Authority",
"{04-2003-9004}","TENNESSEE TOMBIGBEE WATERWAY (U.S. ARMY CORP OF EN","US Army Corps of Engineers","US Dept of Defense"
"{02-2007-2006,02-2008-2011}","Tennessee Gas Pipeline Company","Tennessee Gas Pipeline","El Paso Corp"
"{09-2009-2526}","Tenneco Packaging, Inc. (n/k/a Pactiv Corporation)","Tenneco Packaging","Tenneco Inc"
"{09-2004-0357}","Tenneco Inc.","Tenneco Inc",
"{03-2001-0427}","TENNECO INC","Tenneco Inc",
"{04-2003-3504}","TENNECO AUTOMOTIVE","Tenneco Automotive","Tenneco Inc"
"{09-2006-0082}","Temple Inland","Temple-Inland",
"{04-2008-5150}","TELLUS OPERATING GROUP, LLC (SB)","Tellus Operating Group",
"{02-2009-2006}","Teledyne Technologies, Inc.","Teledyne Technologies",
"{02-2009-2006}","Teledyne Technologies, Inc.","Teledyne Technologies",
"{09-2004-0357}","Teledyne Technologies","Teledyne Technologies",
"{09-2004-0357}","Teledyne Technologies","Teledyne Technologies",
"{07-2005-0172}","TECK COMINCO AMERICAN INCORPORATED","Teck Cominco American",
"{04-2003-3504}","TE PRODUCTS PIPELINE COMPANY, L.P.","TE Products Pipeline","TEPPCO Partners"
"{06-2003-4811}","TE Products Pipeline Company","TE Products Pipeline","TEPPCO Partners"
"{02-2008-2011}","Tate and Lyle Ingredients Americas, Inc.","Tate & Lyle Ingredients Americas","Tate & Lyle Americas"
"{02-2007-2006}","Tate and Lyle Ingredients Americas Inc","Tate & Lyle Ingredients Americas","Tate & Lyle Americas"
"{05-2007-6604}","TATE AND LYLE INGREDIENTS AMERICA, INC.","Tate & Lyle Ingredients Americas","Tate & Lyle Americas"
"{02-2004-2011}","Tate & Lyle Ingredients Americas Inc fka Staley","Tate & Lyle Ingredients Americas","Tate & Lyle Americas"
"{02-2007-2009}","Tate & Lyle Ingredients Americas fka AE Staley Man","Tate & Lyle Ingredients Americas","Tate & Lyle Americas"
"{HQ-2006-5016}","Syngenta Seeds, Inc.","Syngenta Corp",
"{04-2001-9015}","SWEDISH MATCH NORTH AMERICA, INC.","Swedish Match North America",
"{02-2009-2006}","Suny College of Environmental Science & Forestry","SUNY College of Enviro Science/Forestry","State University of New York"
"{03-2001-0236}","SUNOCO, INC. (R&M)","Sunoco Inc",
"{05-2001-0725}","SUNOCO, INC.","Sunoco Inc",
"{07-2004-0256,03-2001-0427,03-2001-0326,07-2001-0304,07-2007-0085}","SUNOCO, INC","Sunoco Inc",
"{06-2002-3747}","Sunoco Refinery","Sunoco Inc",
"{04-2005-9015}","SUNOCO PIPELINE L.P.","Sunoco Pipeline","Sunoco Inc"
"{04-2005-9015}","SUNOCO LOGISTICS PARTNERS, L.P.","Sunoco Logistics Partners","Sunoco Inc"
"{04-2005-9015}","SUNOCO LOGISTICS PARTNERS OPERATIONS GP LLC","Sunoco Logistics Partners","Sunoco Inc"
"{01-2001-0165}","SUNOCO INCORPORATED (R & M)","Sunoco Inc",
"{02-2008-0001}","Sunoco Inc (R&M)","Sunoco Inc",
"{07-2001-0304}","SUNDSTRAND CORPORATION","Sundstrand Corp",
"{04-2003-3504}","SUNBEAM PRODUCTS, INC.","Sunbeam Products","Jarden Corp"
"{01-2001-0121}","SUN OIL CO/SUNOCO INC","Sunoco Inc",
"{10-2010-0082}","Sumitomo Metal Mining Pogo LLC","Sumitomo Metal Mining","Sumitomo Corp of America"
"{02-2008-2011}","Sumitomo Machinery Corporation of America","Sumitomo Machinery Corp of America","Sumitomo Corp of America"
"{02-2007-2006}","Sumitomo Machinery Corp of America","Sumitomo Machinery Corp of America","Sumitomo Corp of America"
"{10-2003-0008}","State of Washingto, Department of Transportation","Washington Dept of Transportation","State of Washington"
"{01-2001-0121}","STATE OF VERMONT-RP: VT HIGHWAY","State of Vermont",
"{01-2001-0121}","STATE OF VERMONT-RP: HEALTH & HUMAN SERV","State of Vermont",
"{01-2001-0121}","STATE OF VERMONT-RP: BRANDON TRAINING CT","State of Vermont",
"{07-2004-0256}","STATE OF NEBRASKA","State of Nebraska",
"{01-2001-0121}","STATE OF ME-RP: SOUTHERN ME TECH COLL SM","State of Maine",
"{01-2001-0121}","STATE OF ME-RP: MAINE NATIONAL GUARD","State of Maine",
"{01-2001-0121}","STATE OF ME-RP: CENTRAL MAINE TECH","State of Maine",
"{01-2001-0121}","STATE OF ME-RP: BUREAU OF GENERAL SERVS","State of Maine",
"{01-2001-0121}","STATE OF ME-RP: BAXTER SCHOOL FOR DEAF","State of Maine",
"{01-2001-0121}","STATE OF ME-RP: ADJ GEN./CAMP KEYES","State of Maine",
"{04-2004-9006}","STATE OF MARYLAND OXFORD COOPERATIVE LAB","State of Maryland",
"{05-2001-0633}","STATE OF INDIANA","State of Indiana",
"{09-2006-0090}","State of Hawaii Department of Education","Hawaii Dept of Education","State of Hawaii"
"{04-2005-9033}","STATE OF DELAWARE, DEPARTMENT OF TRANSPORTATION","State of Delaware",
"{09-2002-0077,09-2008-2525}","State of California","State of California",
"{02-2009-2006}","Starkey Laboratories, Inc.","Starkey Laboratories",
"{07-2007-0131}","ST JOE MINERALS CORP","St Joe Minerals","Fluor Corp"
"{04-2006-3035,04-2004-3780,04-2002-9001}","SPRINGS INDUSTRIES, INC.","Springs Industries",
"{04-2002-9002}","SPRINGS INDUSTRIES","Springs Industries",
"{09-2006-0081}","Spectra-Tone Paint Corporation","Spectra-Tone Paint Corp","PPG Industries"
"{05-2004-0524}","SOUTHWESTERN BELL TELEPHONE COMPANY","Southwestern Bell","AT&T Inc"
"{04-2003-3504}","SOUTHERN NATURAL GAS COMPANY","Southern Natural Gas Co","El Paso Corp"
"{04-2003-3504}","SOUTHERN NATURAL GAS COMPANY","Southern Natural Gas Co","El Paso Corp"
"{04-2003-3504}","SOUTHERN COMPANY, INC.","Southern Co",
"{09-2007-0192}","Southern California Edison Co.","Southern California Edison","Edison International"
"{09-2007-0192}","Southern California Edison Co.","Southern California Edison","Edison International"
"{09-2009-2508,02-2009-2006}","Southern California Edison","Southern California Edison","Edison International"
"{09-2009-2508,02-2009-2006}","Southern California Edison","Southern California Edison","Edison International"
"{04-2004-3751}","SOUTHERN BELL","BellSouth Corp","AT&T Inc"
"{04-2002-3753}","Southeast Milk, Inc.","Southeast Milk",
"{04-2003-3524}","SOUTH CAROLINA ELECTRIC AND GAS CO.","South Carolina Electric & Gas","SCANA Corp"
"{04-2005-9033}","SOUTH CAROLINA ELECTRIC & GAS COMPANY","South Carolina Electric & Gas","SCANA Corp"
"{04-2001-4509}","South Carolina Department of Transportation","South Carolina Dept of Transportation","State of South Carolina"
"{03-2001-0427}","SONY MUSIC ENTERTAINMENT, INC","Sony Music Entertainment","Sony Corp"
"{03-2001-0427}","SONY MUSIC ENTERTAINMENT, INC","Sony Music Entertainment","Sony Corp"
"{04-2002-3777,04-2002-3752}","Solutia, Inc.","Solutia Inc",
"{04-2002-9006}","SOLUTIA, INC.","Solutia Inc",
"{03-2004-0087}","SOLUTIA, INC (FOR THE FORMER MONSANTO COMPANY)","Solutia Inc",
"{02-2001-2001,05-2002-0369}","SOLUTIA INC","Solutia Inc",
"{03-2006-0051}","SMURFIT-STONE CONTAINER ENTERPRISES, INC.","Smurfit-Stone Container Corp",
"{05-2004-0808}","SMURFIT STONE FLEXIBLE PACKAGING","Smurfit-Stone Container Corp",
"{02-2007-2006,02-2004-0006,02-2008-2011}","SmithKline Beecham Corporation","SmithKline Beecham","GlaxoSmithKline"
"{03-2004-0087}","SMITHKLINE BEECHAM CORP D/B/A GLAXOSMITHKLINE","SmithKline Beecham","GlaxoSmithKline"
"{04-2003-3504}","SMITH & NEPHEW, INC.","Smith & Nephew",
"{04-2003-3504}","SMITH & NEPHEW RICHARDS","Smith & Nephew",
"{06-2002-3744}","Sinclair Oil Corporation","Sinclair Oil",
"{08-2006-0074}","Sinclair Oil Company","Sinclair Oil",
"{07-2004-0256}","SINCLAIR & VALENTINE/HONEYWELL INTERNATIONAL, INC","Honeywell International",
"{04-2005-9033}","SIEMENS-ALLIS, INC.","Siemens-Allis Inc","Siemens AG"
"{04-2005-9033}","SIEMENS-ALLIS, INC.","Siemens-Allis Inc","Siemens AG"
"{04-2003-3504,04-2005-9033}","SIEMENS POWER TRANSMISSION & DISTRIBUTION, INC.","Siemens Power Transmission & Distribution","Siemens AG"
"{04-2003-3504,04-2005-9033}","SIEMENS POWER TRANSMISSION & DISTRIBUTION, INC.","Siemens Power Transmission & Distribution","Siemens AG"
"{09-2009-2526}","Siemens Medical Systems Inc.","Siemens Medical Systems","Siemens AG"
"{09-2009-2526}","Siemens Medical Systems Inc.","Siemens Medical Systems","Siemens AG"
"{09-2009-2526}","Siemens Information & Communication Networks, Inc.","Siemens Information & Communication Networks","Siemens AG"
"{09-2009-2526}","Siemens Information & Communication Networks, Inc.","Siemens Information & Communication Networks","Siemens AG"
"{09-2009-2526}","Siemens Holding LLC","Siemens Holding","Siemens AG"
"{09-2009-2526}","Siemens Holding LLC","Siemens Holding","Siemens AG"
"{04-2005-9033,04-2005-9033}","SIEMENS ENERGY & AUTOMATION, INC. fka SIEMENS-ALLI","Siemens Energy & Automation","Siemens AG"
"{04-2005-9033,04-2005-9033}","SIEMENS ENERGY & AUTOMATION, INC. fka SIEMENS-ALLI","Siemens Energy & Automation","Siemens AG"
"{09-2009-2526}","Siemens Energy & Automation","Siemens Energy & Automation","Siemens AG"
"{09-2009-2526}","Siemens Energy & Automation","Siemens Energy & Automation","Siemens AG"
"{02-2007-2009}","Sherwin-Williams Company (The)","Sherwin-Williams Co",
"{03-2001-0427}","SHERWIN-WILLIAMS COMPANY (THE)","Sherwin-Williams Co",
"{07-2004-0256,04-2006-3797}","SHERWIN-WILLIAMS COMPANY","Sherwin-Williams Co",
"{05-2004-0524}","SHERWIN--WILLIAMS","Sherwin-Williams Co",
"{01-2004-0005}","SHERWIN WILLIAMS COMPANY THE","Sherwin-Williams Co",
"{02-2004-2011}","Sherwin Williams Co. (THE)","Sherwin-Williams Co",
"{09-2004-0412}","Shell Pipeline Company LP","Shell Pipeline","Royal Dutch Shell"
"{09-2004-0412}","Shell Oil Products Company LLC","Shell Oil","Royal Dutch Shell"
"{09-2004-0412}","Shell Oil Products Company LLC","Shell Oil","Royal Dutch Shell"
"{04-2002-3753}","Shell Oil Company (Cherry Valley)","Shell Oil","Royal Dutch Shell"
"{04-2002-3753}","Shell Oil Company (Cherry Valley)","Shell Oil","Royal Dutch Shell"
"{09-2007-0003,09-2008-2501,09-2003-0114,09-2002-0183,09-2009-2508}","Shell Oil Company","Shell Oil","Royal Dutch Shell"
"{09-2009-2508,09-2003-0114,09-2008-2501,09-2007-0003,09-2002-0183}","Shell Oil Company","Shell Oil","Royal Dutch Shell"
"{04-2001-3754}","SHELL OIL COMPANY","Shell Oil","Royal Dutch Shell"
"{04-2001-3754}","SHELL OIL COMPANY","Shell Oil","Royal Dutch Shell"
"{01-2009-0528}","SHELL OIL COMPANIES","Shell Oil","Royal Dutch Shell"
"{01-2009-0528}","SHELL OIL COMPANIES","Shell Oil","Royal Dutch Shell"
"{02-2001-2001,01-2001-0165}","SHELL OIL CO","Shell Oil","Royal Dutch Shell"
"{02-2001-2001,01-2001-0165}","SHELL OIL CO","Shell Oil","Royal Dutch Shell"
"{09-2004-0412}","Shell Oil","Shell Oil","Royal Dutch Shell"
"{09-2004-0412}","Shell Oil","Shell Oil","Royal Dutch Shell"
"{02-2008-0023}","Shell Chemical, LP","Shell Chemical","Royal Dutch Shell"
"{04-2005-9039}","SHELL CHEMICAL, LP","Shell Chemical","Royal Dutch Shell"
"{02-2008-0023,02-2004-0010}","Shell Chemical Yabucoa, Inc.","Shell Chemical","Royal Dutch Shell"
"{04-2008-5127}","SHELL CHEMICAL LP","Shell Chemical","Royal Dutch Shell"
"{09-2009-2508}","Shell Chemical Company","Shell Chemical","Royal Dutch Shell"
"{06-2007-3404}","Shell Chemical - St. Rose","Shell Chemical","Royal Dutch Shell"
"{04-2007-3759,03-2001-0334}","SHELL","Shell Oil","Royal Dutch Shell"
"{09-2006-0081}","Shea Homes","Shea Homes",
"{04-2004-9006}","SHAW AIR FORCE BASE","US Air Force","US Dept of Defense"
"{05-2006-0738}","SEQUA CORPORATION (FKA SUN CHEMICALS)","Sequa Corp",
"{02-2007-2009,09-2004-0357,06-2005-2788,02-2004-2011}","Sequa Corporation","Sequa Corp",
"{05-2003-0405,04-2004-9006,03-2005-0164}","SEQUA CORPORATION","Sequa Corp",
"{04-2002-9002}","SEQUA CORP.","Sequa Corp",
"{04-2008-0750}","SEMINOLE TRIBE OF FLORIDA","Seminole Tribe of Florida",
"{05-2001-0420}","SEARS, ROEBUCK AND COMPANY","Sears, Roebuck & Co","Sears Holdings Corp"
"{01-2007-0507}","SEARS, ROEBUCK & CO","Sears, Roebuck & Co","Sears Holdings Corp"
"{01-2004-0005,01-2009-0533,01-2004-0014}","SEARS ROEBUCK & CO","Sears, Roebuck & Co","Sears Holdings Corp"
"{04-2001-9015}","SEARS ROEBUCK","Sears, Roebuck & Co","Sears Holdings Corp"
"{01-2006-0203}","SEARS","Sears, Roebuck & Co","Sears Holdings Corp"
"{04-2004-3751}","SEABOARD MARINE LTD.","Seaboard Marine","Seaboard Corp"
"{04-2004-3751}","SEABOARD COAST LINES","Seaboard Coast Lines","CSX Corp"
"{03-2001-0427}","SCHLUMBERGER MALCO, INC","Schlumberger Malco","Schlumberger Ltd"
"{03-2004-0087,03-2004-0411,03-2004-0087}","SCHERING-PLOUGH CORPORATION","Schering-Plough Corp",
"{05-2004-0524}","SCHERING--PLOUGH HEALTHCARE PRODUCTS, INC.","Schering-Plough Corp",
"{02-2001-2001}","SCHERING CORP","Schering-Plough Corp",
"{01-2009-5555,03-2001-0427}","SARA LEE CORPORATION","Sara Lee Corp",
"{02-2009-2006}","Sara Lee Corp.","Sara Lee Corp",
"{07-2001-0304}","SANDOZ INCORPORATED","Sandoz Inc","Novartis AG"
"{04-2001-9049}","SANDOZ CHEMICAL CORP","Sandoz Chemical","Novartis AG"
"{02-2009-2006}","Sandia National Laboratories","Sandia National Laboratories","Lockheed Martin"
"{02-2009-2006}","San Diego State University","San Diego State University",
"{08-2001-0143}","SAMSON INVESTMENT CO","Samson Investment",
"{08-2001-0143}","SAMSON INVESTMENT CO","Samson Investment",
"{09-2007-0273}","Salt River Project - Coronado","Salt River Project",
"{02-2009-2006}","Salt River Project","Salt River Project",
"{07-2001-0304}","SAINT-GORBAIN CORP","Saint-Gobain Corp",
"{06-2005-3416}","Saint-Gobain Containers, Inc.","Saint-Gobain Corp",
"{10-2005-0245}","SAINT GOBAIN CONTAINERS INC","Saint-Gobain Corp",
"{01-2005-1022}","SAINT GOBAIN  CONTAINERS","Saint-Gobain Corp",
"{09-2004-0357}","Safeway Stores, Inc.","Safeway Inc",
"{04-2006-3758,04-2007-3759,04-2010-3759}","SAFETY-KLEEN SYSTEMS, INC.","Safety-Kleen Systems",
"{02-2007-2009}","Safety-Kleen Envirosystems Company by Mc Kesson &","Safety-Kleen Systems",
"{02-2004-2011}","Safety-Kleen Envirosystems Co.","Safety-Kleen Systems",
"{04-2003-9004}","SAFETY-KLEEN","Safety-Kleen Systems",
"{05-2003-0405}","S.C. JOHNSON & SON, INC.","SC Johnson & Son",
"{04-2003-3504}","RYDER TRUCK RENTAL, INC. (CORPORATE OFFICE)","Ryder Truck Rental","Ryder System"
"{09-2003-0225}","Ryder Truck Rental Inc.","Ryder Truck Rental","Ryder System"
"{01-2007-0507,01-2004-0014,01-2009-0533}","RYDER TRUCK RENTAL INC","Ryder Truck Rental","Ryder System"
"{01-2006-0203}","RYDER TRUCK","Ryder Truck Rental","Ryder System"
"{02-2009-2006}","Rubbermaid Commerical Products, Inc.","Newell Rubbermaid",
"{07-2004-0256}","RR DONNELLEY & SONS COMPANY","RR Donnelley & Sons",
"{04-2004-3751}","ROYAL CARRIBEAN CRUISE LINES","Royal Caribbean Cruises",
"{09-2007-0073}","Royal Caribbean Cruises","Royal Caribbean Cruises",
"{04-2004-3751}","ROLLS ROYCE","Rolls-Royce North America","Rolls-Royce PLC"
"{09-2006-0081}","Rollins Inc. (aka Orkin Pest Control)","Rollins Inc",
"{02-2001-2001}","ROHM AND HASS CO","Rohm & Haas","Dow Chemical"
"{02-2004-0006,02-2008-2011,03-2007-0033,02-2007-2006}","Rohm and Haas Company","Rohm & Haas","Dow Chemical"
"{02-2005-0016,03-2001-0427}","ROHM AND HAAS COMPANY","Rohm & Haas","Dow Chemical"
"{02-2009-2006}","Rohm And Haas Co.","Rohm & Haas","Dow Chemical"
"{04-2003-3504}","ROHM & HAAS (MORTON INTERNATIONAL, INC.)","Rohm & Haas","Dow Chemical"
"{05-2003-0412}","ROCKWELL INTERNATIONAL CORP","Rockwell International",
"{05-2003-0405,03-2001-0427}","ROCKWELL INTERNATIONAL","Rockwell International",
"{04-2004-9006}","ROCKWELL AUTOMATION, INC.","Rockwell Automation","Rockwell International"
"{04-2006-3797}","ROCK-TENN CONVERTING CO.","Rock-Tenn Co",
"{02-2009-2006}","Rochester Gas and Electric Corporation","Rochester Gas & Electric",
"{02-2004-0006}","Roche Vitamins Inc.","Roche Holdings",
"{09-2004-0357}","Roche Holdings/Syntex","Roche Holdings",
"{04-2004-3751}","ROADWAY EXPRESS","Roadway Express","YRC Worldwide"
"{04-2004-3751}","RINKER MATERIALS","Rinker Materials",
"{04-2003-9004}","RING POWER SYSTEM","Ring Power Corp",
"{04-2006-3758}","RING POWER CORPORATION","Ring Power Corp",
"{04-2002-9002}","RHONE-POULENC, INC. (nka BAYER CROPSCIENCE, INC.)","Bayer CropScience","Bayer AG"
"{08-2004-0114,06-2006-3404}","Rhodia, Inc.","Rhodia Inc",
"{03-2004-0087,04-2002-9002}","RHODIA, INC.","Rhodia Inc",
"{05-2005-4549}","RHODIA INC.","Rhodia Inc",
"{04-2007-9016}","RHEEM MANUFACTURING COMPANY","Rheem Manufacturing",
"{10-2005-0217}","Reynolds Metals, Alcoa Inc.","Reynolds Metals","Alcoa Inc"
"{10-2003-0115}","Reynolds Metals Superfund Site","Reynolds Metals","Alcoa Inc"
"{10-2007-0228,02-2003-0011}","Reynolds Metals Company","Reynolds Metals","Alcoa Inc"
"{03-2001-0427}","REYNOLDS METALS COMPANY","Reynolds Metals","Alcoa Inc"
"{01-2002-0159}","REYNOLDS & REYNOLDS DBA BALTIMORE BUSINESS FORMS","Reynolds & Reynolds",
"{03-2001-0427}","REVLON, INC","Revlon","MacAndrews & Forbes"
"{02-2007-2006,02-2004-0006,02-2008-2011}","Revlon Consumer Products Corporation","Revlon","MacAndrews & Forbes"
"{05-2008-0915}","Republic Services of Ohio II, LLC","Republic Services",
"{03-2004-0411}","REMINGTON ARMS COMPANY","Remington Arms",
"{09-2004-0368}","Regents of the University of California","University of California",
"{04-2003-3504}","RAYTHEON SYSTEMS fka HUGHES AIRCRAFT","Raytheon Co",
"{01-2004-0005}","RAYTHEON COMPANY ON BEHALF OF SELF & SUBSIDIARIES","Raytheon Co",
"{09-2007-0115}","Raytheon Company","Raytheon Co",
"{07-2001-0304,03-2001-0427}","RAYTHEON COMPANY","Raytheon Co",
"{07-2004-0256}","RAYTHEON AIRCRAFT COMPANY","Raytheon Co",
"{05-2005-0635}","R.R. DONNELLEY & SONS COMPNAY","RR Donnelley & Sons",
"{05-2003-0405}","R.R. DONNELLEY & SONS COMPANY","RR Donnelley & Sons",
"{03-2001-0427}","R.A. INDUSTRIES, INC.","RA Industries",
"{05-2006-0738}","R. R. DONNELLEY & SONS COMPANY","RR Donnelley & Sons",
"{05-2004-0524}","QWEST","Qwest Communications",
"{01-2001-0165}","QUEST DIAGNOSTICS INC","Quest Diagnostics",
"{01-2001-0165}","QUEST DIAGNOSTICS INC","Quest Diagnostics",
"{05-2001-0401}","QUEST DIAGNOSTICS CLINICAL LABORATORIES, INC.","Quest Diagnostics",
"{05-2001-0401}","QUEST DIAGNOSTICS CLINICAL LABORATORIES, INC.","Quest Diagnostics",
"{04-2005-9033}","QUANTA SERVICES, INC.","Quanta Services",
"{04-2004-3751}","QUAKER OATS","Quaker Oats","PepsiCo Inc"
"{02-2004-2011}","Purdue Pharma Technologies, Inc.","Purdue Pharma",
"{02-2007-2009}","Purdue Pharma Technologies Inc","Purdue Pharma",
"{04-2005-9041,03-2008-0176,06-2008-2015}","PULTE HOMES, INC.","Pulte Homes",
"{05-2006-0302}","PULTE HOMES, INC","Pulte Homes",
"{09-2004-0321}","Pulte Homes","Pulte Homes",
"{10-2007-0050}","Puget Sound Energy Inc","Puget Sound Energy",
"{08-2006-0159}","Puget Sound Energy","Puget Sound Energy",
"{02-2009-2006}","Public Service Electric & Gas Co.","Public Service Electric & Gas","Public Service Enterprise Group"
"{02-2009-2006}","Public Service Electric & Gas Co.","Public Service Electric & Gas","Public Service Enterprise Group"
"{02-2008-2011}","PSEG Fossil, LLC","PSEG Fossil","Public Service Enterprise Group"
"{02-2007-2006}","PSEG Fossil LLC","PSEG Fossil","Public Service Enterprise Group"
"{02-2001-0020}","PSE&G FOSSIL LLC","PSEG Fossil","Public Service Enterprise Group"
"{02-2004-2011}","PSE&G","Public Service Electric & Gas","Public Service Enterprise Group"
"{04-2005-3778,04-2005-9033}","PROGRESS ENERGY CAROLINAS, INC.","Progress Energy",
"{04-2003-3504}","PROCTOR & GAMBLE MANUFACTURING COMPANY","Procter & Gamble",
"{07-2004-0256}","PRINTPACK, INC","Printpack Inc",
"{04-2010-3759}","PRINTPACK INC,","Printpack Inc",
"{09-2009-2524}","Princess Cruises Limited","Princess Cruises","Carnival Corp"
"{07-2001-0109}","PRIMERICA, INC.","Primerica Inc","Citigroup Inc"
"{05-2006-0738}","PRIMERICA CORPORATION","Primerica Inc","Citigroup Inc"
"{09-2009-2527}","Price Club","Price Club","Costco Wholesale"
"{02-2001-2001}","PRATT & WHITNEY -DIV UNITED TECHNOLOGIES","Pratt & Whitney","United Technologies"
"{01-2007-0507,04-2001-9026}","PRATT & WHITNEY","Pratt & Whitney","United Technologies"
"{08-2006-0159}","PPL Montana","PPL Montana","PPL Corp"
"{02-2009-2006}","PPL Electric Utilities Corporation","PPL Electric Utilities Corp","PPL Corp"
"{09-2003-0225,02-2004-2011,03-2007-0033}","PPG Industries, Inc.","PPG Industries",
"{05-2003-0405}","PPG INDUSTRIES, INC.","PPG Industries",
"{03-2004-0411,03-2004-0087}","PPG INDUSTRIES, INC","PPG Industries",
"{04-2005-9033,03-2001-0427}","POTOMAC ELECTRIC POWER COMPANY","Potomac Electric Power","PEPCO Holdings"
"{08-2006-0159}","Portland General Electric Company","Portland General Electric",
"{09-2004-0022}","Polyone Corporation","PolyOne Corp",
"{03-2004-0087}","POLYONE CORPORATION","PolyOne Corp",
"{03-2001-0427}","POLY ONE CORPORATION","PolyOne Corp",
"{01-2009-5555}","PITNEY BOWES INC","Pitney Bowes Inc",
"{01-2002-0159}","PITNEY BOWES (WHEELER GROUP)","Pitney Bowes Inc",
"{08-2004-0165}","Pioneer Natural Resources, USA","Pioneer Natural Resources USA",
"{08-2001-0119,08-2001-0143}","PIONEER NATURAL RESOURCES","Pioneer Natural Resources USA",
"{09-2003-0017}","Pioneer Hi-Bred International","Pioneer Hi-Bred International","DuPont Co"
"{07-2001-0304}","PILLSBURY COMPANY","Pillsbury Co","General Mills"
"{05-2002-0369}","PILLSBURY CO","Pillsbury Co","General Mills"
"{01-2004-0014}","PIKE INDUSTRIES INC/TILCON MAINE INC","Pike Industries",
"{01-2004-0014}","PIKE INDUSTRIES INC/TILCON MAINE INC","Pike Industries",
"{01-2004-0014}","PIKE INDUSTRIES INC/TILCON MAINE INC","Pike Industries",
"{01-2007-0507}","PIKE INDUSTRIES INC","Pike Industries",
"{01-2007-0507}","PIKE INDUSTRIES INC","Pike Industries",
"{01-2007-0507}","PIKE INDUSTRIES INC","Pike Industries",
"{01-2009-0533}","PIKE INDUSTRIES  INC/ TILCON MAINE INC","Pike Industries",
"{01-2009-0533}","PIKE INDUSTRIES  INC/ TILCON MAINE INC","Pike Industries",
"{01-2009-0533}","PIKE INDUSTRIES  INC/ TILCON MAINE INC","Pike Industries",
"{01-2006-0203}","PIKE INDUSTRIES","Pike Industries",
"{01-2006-0203}","PIKE INDUSTRIES","Pike Industries",
"{01-2006-0203}","PIKE INDUSTRIES","Pike Industries",
"{02-2009-2006}","Piedmont Natural Gas Co., Inc.","Piedmont Natural Gas",
"{05-2002-0369}","PHILLIPS PIPE LINE CO","Phillips Pipe Line Co","ConocoPhillips"
"{09-2002-0174}","Phillips Petroleum Company","Phillips Petroleum","ConocoPhillips"
"{04-2001-3754,08-2001-0085}","PHILLIPS PETROLEUM COMPANY","Phillips Petroleum","ConocoPhillips"
"{02-2006-0027}","Philips Electronics North American Corporation","Philips Electronics North America",
"{05-2007-0506,05-2003-0405}","PHILIPS ELECTRONICS NORTH AMERICA CORPORATION","Philips Electronics North America",
"{09-2009-2527}","Philips Electronics","Philips Electronics North America",
"{09-2006-0082}","Philip Morris Industrial","Philip Morris USA","Altria Group"
"{09-2005-0225}","Philip Morris","Philip Morris USA","Altria Group"
"{04-2004-9006,03-2001-0427}","PHILADELPHIA NAVAL SHIPYARD","US Navy","US Dept of Defense"
"{01-2009-5555}","PHIBRO ANIMAL HEALTH CORPORATION","Phibro Animal Health",
